username,password,name,phone,email,member_code,barcode_data,birth_date
user1,pass1,User 1,050000001,user1@mail.com,MEM1,BAR1,1991-01-01
user2,pass2,User 2,050000002,user2@mail.com,MEM2,BAR2,1992-01-01
user3,pass3,User 3,050000003,user3@mail.com,MEM3,BAR3,1993-01-01
user4,pass4,User 4,050000004,user4@mail.com,MEM4,BAR4,1994-01-01
user5,pass5,User 5,050000005,user5@mail.com,MEM5,BAR5,1995-01-01
user6,pass6,User 6,050000006,user6@mail.com,MEM6,BAR6,1996-01-01
user7,pass7,User 7,050000007,user7@mail.com,MEM7,BAR7,1997-01-01
user8,pass8,User 8,050000008,user8@mail.com,MEM8,BAR8,1998-01-01
user9,pass9,User 9,050000009,user9@mail.com,MEM9,BAR9,1999-01-01
user10,pass10,User 10,0500000010,user10@mail.com,MEM10,BAR10,1910-01-01
